Date,location,position,key,value,month
2017-04-10,Tainoura (Isoyake),0m,RP,12.033394309340942,4
2017-04-10,Tainoura (Isoyake),1m,RP,9.808178090196824,4
2017-04-10,Arikawa (Sargassum),0m,RP,10.32545567304673,4
2017-04-10,Arikawa (Sargassum),1m,RP,7.572872813020003,4
2017-04-11,Tainoura (Isoyake),0m,RP,7.074824834029584,4
2017-04-11,Tainoura (Isoyake),1m,RP,6.383046583731957,4
2017-04-11,Arikawa (Sargassum),0m,RP,0.752400410223389,4
2017-04-12,Tainoura (Isoyake),0m,RP,14.72623224928454,4
2017-04-12,Tainoura (Isoyake),1m,RP,12.568302852713924,4
2017-04-12,Arikawa (Sargassum),0m,RP,16.491191037453763,4
2017-04-12,Arikawa (Sargassum),1m,RP,11.86137159758293,4
2017-04-13,Tainoura (Isoyake),0m,RP,20.027073508662433,4
2017-04-13,Tainoura (Isoyake),1m,RP,19.74075002136496,4
2017-04-13,Arikawa (Sargassum),0m,RP,35.4216629624235,4
2017-04-14,Tainoura (Isoyake),0m,RP,20.52037643321901,4
2017-04-14,Tainoura (Isoyake),1m,RP,18.53121288254967,4
2017-04-14,Arikawa (Sargassum),0m,RP,46.54270608203959,4
2017-04-14,Arikawa (Sargassum),1m,RP,47.57708571112174,4
2017-04-15,Tainoura (Isoyake),0m,RP,24.477761781061574,4
2017-04-15,Tainoura (Isoyake),1m,RP,14.757152793515179,4
2017-04-15,Arikawa (Sargassum),0m,RP,52.64182712874543,4
2017-04-15,Arikawa (Sargassum),1m,RP,48.39839733933715,4
2017-04-16,Tainoura (Isoyake),0m,RP,24.438730738447653,4
2017-04-16,Tainoura (Isoyake),1m,RP,18.3399414362074,4
2017-04-16,Arikawa (Sargassum),0m,RP,56.82503825334362,4
2017-04-16,Arikawa (Sargassum),1m,RP,24.620032797368086,4
2017-04-17,Tainoura (Isoyake),0m,RP,5.816478769817259,4
2017-04-17,Tainoura (Isoyake),1m,RP,7.947683307882768,4
2017-04-17,Arikawa (Sargassum),1m,RP,14.625237430663706,4
2017-04-18,Tainoura (Isoyake),0m,RP,33.156971115405355,4
2017-04-18,Tainoura (Isoyake),1m,RP,13.716801173920274,4
2017-04-18,Arikawa (Sargassum),0m,RP,50.82098313424432,4
2017-04-18,Arikawa (Sargassum),1m,RP,59.87523564801947,4
2017-04-19,Tainoura (Isoyake),0m,RP,18.674869372215852,4
2017-04-19,Tainoura (Isoyake),1m,RP,14.834959994184604,4
2017-04-19,Arikawa (Sargassum),0m,RP,28.414608926116863,4
2017-04-19,Arikawa (Sargassum),1m,RP,23.330139883934667,4
