"","Date","location","key","value","month"
"1",2017-12-23,"Mushima (Old port)","RP",5.97696905328,12
"2",2017-12-23,"Mushima (New port)","RP",16.4067860740982,12
"3",2017-12-24,"Mushima (Old port)","RP",4.95714426116322,12
"4",2017-12-24,"Mushima (New port)","RP",6.15787216631354,12
"5",2017-12-25,"Mushima (Old port)","RP",11.0973954255151,12
"6",2017-12-25,"Mushima (New port)","RP",8.09868800765735,12
"7",2017-12-26,"Mushima (Old port)","RP",5.63842290543803,12
"8",2017-12-26,"Mushima (New port)","RP",6.16722601894379,12
"9",2017-12-27,"Mushima (Old port)","RP",8.74654850085221,12
"10",2017-12-27,"Mushima (New port)","RP",9.90313631360493,12
"11",2017-12-28,"Mushima (Old port)","RP",12.255667154594,12
"12",2017-12-28,"Mushima (New port)","RP",10.6936630602787,12
"13",2017-12-29,"Mushima (Old port)","RP",10.0717198025582,12
"14",2017-12-29,"Mushima (New port)","RP",11.8694451106319,12
"15",2017-12-30,"Mushima (Old port)","RP",3.99636594953208,12
"16",2017-12-30,"Mushima (New port)","RP",5.48174094427033,12
"17",2017-12-31,"Mushima (Old port)","RP",10.8488467701189,12
"18",2017-12-31,"Mushima (New port)","RP",6.50653522440406,12
"19",2018-01-01,"Mushima (Old port)","RP",11.3885850543788,1
"20",2018-01-01,"Mushima (New port)","RP",17.1611246423254,1
"21",2018-01-02,"Mushima (Old port)","RP",8.64526441335869,1
"22",2018-01-02,"Mushima (New port)","RP",14.494514694578,1
"23",2018-01-03,"Mushima (Old port)","RP",8.24291196828852,1
"24",2018-01-03,"Mushima (New port)","RP",13.1901341343525,1
"25",2018-01-04,"Mushima (Old port)","RP",7.80954024228385,1
"26",2018-01-04,"Mushima (New port)","RP",13.2479716535617,1
"27",2018-01-05,"Mushima (Old port)","RP",6.08079830948258,1
"28",2018-01-05,"Mushima (New port)","RP",9.42547809700258,1
"29",2018-01-06,"Mushima (Old port)","RP",7.59575089136568,1
"30",2018-01-06,"Mushima (New port)","RP",9.37787253213642,1
"31",2018-01-07,"Mushima (Old port)","RP",5.48595896112008,1
"32",2018-01-07,"Mushima (New port)","RP",13.808193138178,1
"33",2018-01-08,"Mushima (Old port)","RP",0.126921046335461,1
"34",2018-01-08,"Mushima (New port)","RP",2.73040370896322,1
"35",2018-01-09,"Mushima (Old port)","RP",2.33219313773879,1
"36",2018-01-10,"Mushima (Old port)","RP",5.51523470472755,1
"37",2018-01-10,"Mushima (New port)","RP",5.0614141550606,1
"38",2018-01-11,"Mushima (Old port)","RP",11.558536826217,1
"39",2018-01-11,"Mushima (New port)","RP",8.05243178008179,1
"40",2018-01-12,"Mushima (Old port)","RP",10.742568363933,1
"41",2018-01-13,"Mushima (Old port)","RP",8.18760238873802,1
"42",2018-01-13,"Mushima (New port)","RP",7.69286163005134,1
"43",2018-01-14,"Mushima (Old port)","RP",13.8294018163776,1
"44",2018-01-14,"Mushima (New port)","RP",9.5857207909134,1
"45",2018-01-15,"Mushima (Old port)","RP",7.66990637911256,1
"46",2018-01-15,"Mushima (New port)","RP",21.7311782801163,1
"47",2018-02-24,"Mushima (New port)","RP",27.1666060803781,2
"48",2018-02-25,"Mushima (New port)","RP",23.8310011559679,2
"49",2018-02-26,"Mushima (New port)","RP",32.0689271248114,2
"50",2018-02-27,"Mushima (New port)","RP",27.7011724664789,2
"51",2018-02-28,"Mushima (New port)","RP",10.8150948730277,2
"52",2018-03-01,"Mushima (New port)","RP",15.2794821626969,3
"53",2018-03-02,"Mushima (New port)","RP",38.7707074239523,3
"54",2018-03-03,"Mushima (New port)","RP",16.4695793367619,3
"55",2018-03-04,"Mushima (New port)","RP",38.945232642243,3
"56",2018-03-05,"Mushima (New port)","RP",22.773921374192,3
"57",2018-03-06,"Mushima (New port)","RP",19.4090934263345,3
"58",2018-03-07,"Mushima (New port)","RP",24.3787053222727,3
"59",2018-03-08,"Mushima (New port)","RP",46.3312710505033,3
"60",2018-03-09,"Mushima (New port)","RP",7.39275403770589,3
"61",2018-03-10,"Mushima (New port)","RP",64.1415434907576,3
"62",2018-03-11,"Mushima (New port)","RP",46.2954763643349,3
"63",2018-03-12,"Mushima (New port)","RP",33.2179162471972,3
"64",2018-03-13,"Mushima (New port)","RP",54.822251592468,3
"65",2018-03-14,"Mushima (New port)","RP",36.2804482518572,3
"66",2018-03-15,"Mushima (New port)","RP",23.7949250718327,3
"67",2018-03-16,"Mushima (New port)","RP",22.3914961699145,3
"68",2018-03-17,"Mushima (New port)","RP",37.5929431878838,3
"69",2018-03-18,"Mushima (New port)","RP",52.4275415949005,3
"70",2018-03-19,"Mushima (New port)","RP",20.0311059584741,3
"71",2018-03-20,"Mushima (New port)","RP",8.45669706665405,3
"72",2018-03-21,"Mushima (New port)","RP",15.9070105232246,3
"73",2018-03-22,"Mushima (New port)","RP",22.8016131586916,3
"74",2018-03-23,"Mushima (New port)","RP",21.5069225737314,3
"75",2018-03-24,"Mushima (New port)","RP",30.0364273082981,3
"76",2018-03-25,"Mushima (New port)","RP",52.6175336140847,3
"77",2018-03-26,"Mushima (New port)","RP",35.127395259548,3
"78",2018-03-27,"Mushima (New port)","RP",38.6380884707478,3
"79",2018-03-28,"Mushima (New port)","RP",43.7001374436465,3
"80",2018-03-29,"Mushima (New port)","RP",47.2129211286859,3
"81",2018-03-30,"Mushima (New port)","RP",39.8785226458746,3
"82",2018-03-31,"Mushima (New port)","RP",61.0324755951216,3
"83",2018-04-01,"Mushima (New port)","RP",42.8780650552457,4
"84",2018-04-02,"Mushima (New port)","RP",50.7451391033342,4
"85",2018-04-03,"Mushima (New port)","RP",53.2891701371948,4
"86",2018-04-04,"Mushima (New port)","RP",51.5482385869268,4
"87",2018-04-05,"Mushima (New port)","RP",50.6096665986444,4
"88",2018-04-06,"Mushima (New port)","RP",39.699660158825,4
"89",2018-04-07,"Mushima (New port)","RP",6.84926568017245,4
"90",2018-04-08,"Mushima (New port)","RP",17.7893092575945,4
"91",2018-04-09,"Mushima (New port)","RP",27.3651096073934,4
"92",2018-04-10,"Mushima (New port)","RP",26.0912666050772,4
"93",2018-04-11,"Mushima (New port)","RP",45.9551985138358,4
"94",2018-04-12,"Mushima (New port)","RP",37.9121630873657,4
"95",2018-04-13,"Mushima (New port)","RP",28.5032074598917,4
"96",2018-04-14,"Mushima (New port)","RP",11.582433031744,4
"97",2018-04-15,"Mushima (New port)","RP",22.7043917878526,4
"98",2018-04-20,"Mushima (Old port)","RP",7.22468240152434,4
"99",2018-04-20,"Mushima (New port)","RP",71.5088626873304,4
"100",2018-04-21,"Mushima (Old port)","RP",19.6554380152391,4
